position,player,bye,points_year,points_week,vorp,max_bid,tier
TE,Travis Kelce,10,215.48,13.4675,5.67375,51.06375,1
TE,George Kittle,11,206.43,12.901875,5.108125000000001,45.97312500000001,1
TE,Mark Andrews,8,177.09,11.068125,3.274375000000001,29.469375000000007,1
TE,Zach Ertz,9,164.58999999999997,10.286874999999998,2.493124999999999,22.438124999999992,1
TE,Darren Waller,6,153.39,9.586875,1.7931249999999999,16.138125,2
TE,Hunter Henry,10,142.33999999999997,8.896249999999998,1.1024999999999991,9.922499999999992,2
TE,Hayden Hurst,10,140.95,8.809375,1.015625,9.140625,2
TE,Austin Hooper,9,139.61,8.725625,0.9318750000000016,8.386875000000014,2
TE,Tyler Higbee,9,139.28,8.705,0.9112500000000008,8.201250000000007,2
TE,T.J. Hockenson,5,134.57999999999998,8.411249999999999,0.6174999999999997,5.5574999999999974,2
TE,Evan Engram,11,134.37,8.398125,0.604375000000001,5.439375000000009,2
TE,Rob Gronkowski,13,133.24,8.3275,0.5337500000000013,4.8037500000000115,2
TE,Mike Gesicki,11,132.76999999999998,8.298124999999999,0.5043749999999996,4.539374999999996,2
TE,Jared Cook,6,124.92999999999999,7.8081249999999995,0.014375000000000249,1,2
TE,Chris Herndon IV,11,124.69999999999999,7.793749999999999,0,1,2
TE,Jonnu Smith,7,120.88999999999999,7.555624999999999,-0.23812500000000014,1,2
TE,Dallas Goedert,9,117.21000000000001,7.3256250000000005,-0.4681249999999988,1,2
TE,Blake Jarwin,10,115.88,7.2425,-0.5512499999999996,1,2
TE,Noah Fant,8,115.85,7.240625,-0.5531249999999996,1,2
TE,Jack Doyle,7,112.92,7.0575,-0.7362499999999992,1,2
TE,Eric Ebron,8,111.86000000000001,6.991250000000001,-0.8024999999999984,1,2
TE,Ian Thomas,13,102.61000000000001,6.413125000000001,-1.3806249999999984,1,3
TE,Irv Smith Jr.,7,102.31,6.394375,-1.3993749999999991,1,3
TE,Greg Olsen,6,89.61999999999999,5.601249999999999,-2.1925,1,3
TE,Dawson Knox,11,87.53999999999999,5.4712499999999995,-2.3225,1,3
TE,Jimmy Graham,11,84.6,5.2875,-2.5062499999999996,1,3
TE,Logan Thomas,8,81.57,5.098125,-2.6956249999999997,1,3
TE,Kyle Rudolph,7,79.61,4.975625,-2.8181249999999993,1,3
TE,Will Dissly,6,79.25,4.953125,-2.8406249999999993,1,3
TE,Tyler Eifert,7,78.53999999999999,4.9087499999999995,-2.885,1,3
TE,O.J. Howard,13,76.4,4.775,-3.018749999999999,1,3
TE,C.J. Uzomah,9,73.97999999999999,4.623749999999999,-3.17,1,4
TE,Dan Arnold,8,72.49,4.530625,-3.2631249999999996,1,4
TE,Gerald Everett,9,71.35,4.459375,-3.3343749999999996,1,4
TE,Jordan Akins,8,64.51,4.031875,-3.761874999999999,1,4
TE,Jace Sternberger,5,63.3,3.95625,-3.8374999999999995,1,4
TE,Darren Fells,8,61.81,3.863125,-3.930624999999999,1,4
TE,Nick Boyle,8,60.39,3.774375,-4.019374999999999,1,4
TE,Mo Alie-Cox,7,57.75,3.609375,-4.184374999999999,1,4
TE,David Njoku,9,54.489999999999995,3.4056249999999997,-4.388125,1,4
TE,Harrison Bryant,9,47.93000000000001,2.9956250000000004,-4.798124999999999,1,5
TE,Dalton Keene,6,45.49,2.843125,-4.950624999999999,1,5
TE,Cameron Brate,13,44.45,2.778125,-5.015624999999999,1,5
TE,Kaden Smith,11,43.699999999999996,2.7312499999999997,-5.0625,1,5
TE,Adam Trautman,6,41.86,2.61625,-5.177499999999999,1,5
TE,Kahale Warring,8,41.16,2.5725,-5.2212499999999995,1,5
TE,Cole Kmet,11,40.81999999999999,2.5512499999999996,-5.2425,1,5
TE,Vance McDonald,8,40.59,2.536875,-5.256874999999999,1,5
TE,Jeremy Sprinkle,8,39.83,2.489375,-5.304374999999999,1,5
TE,Jordan Reed,11,38.14,2.38375,-5.409999999999999,1,6
TE,Ryan Griffin,11,38.04,2.3775,-5.41625,1,6
TE,Jason Witten,6,37.96,2.3725,-5.421249999999999,1,6
TE,Jesse James,5,37.92,2.37,-5.423749999999999,1,6
TE,Robert Tonyan,5,36.980000000000004,2.3112500000000002,-5.482499999999999,1,6
TE,Anthony Firkser,7,35.28,2.205,-5.588749999999999,1,6
TE,Devin Asiasi,6,33.78,2.11125,-5.682499999999999,1,6
TE,Marcedes Lewis,5,32.72,2.045,-5.748749999999999,1,6
TE,Jaeden Graham,10,32.019999999999996,2.0012499999999998,-5.7924999999999995,1,6
TE,Maxx Williams,8,30.310000000000002,1.8943750000000001,-5.899374999999999,1,6
TE,Josh Hill,6,27.45,1.715625,-6.078124999999999,1,7
TE,Matt LaCosse,6,26.930000000000003,1.6831250000000002,-6.110624999999999,1,7
TE,Jacob Hollister,6,26.43,1.651875,-6.141874999999999,1,7
TE,Josh Oliver,7,23.369999999999997,1.4606249999999998,-6.333124999999999,1,7
