Pick,Player,NFL Team,Position,Salary,FF Team
1,Harrison Butker ,KC ,K,2,He's...getting NEWD!
2,Wil Lutz ,NO ,K,1,Rudy’s Pulitzer
3,Robbie Gould ,SF ,K,1,LeJizz LeRoux
4,Justin Tucker ,Bal ,K,3,DAD POWER
5,Christian McCaffrey ,Car ,RB,92,He's...getting NEWD!
6,Greg Zuerlein ,Dal ,K,1,CatchAll-19
7,Dan Bailey ,Min ,K,1,The Bleach Boys
8,Derrick Henry ,Ten ,RB,65,MyTeamIsAHenryHunter
9,Alvin Kamara ,NO ,RB,70,FreshPrinceOfHelaire
10,San Francisco ,SF ,DEF,3,Asynchronicity
11,Clyde Edwards-Helaire ,KC ,RB,58,FreshPrinceOfHelaire
12,Buffalo ,Buf ,DEF,3,DAD POWER
13,Matt Prater ,Ari ,K,1,MyTeamIsAHenryHunter
14,Michael Thomas ,NO ,WR,66,Blowvid-19
15,Tyreek Hill ,KC ,WR,52,Asynchronicity
16,Pittsburgh ,Pit ,DEF,3,The Bleach Boys
17,Baltimore ,Bal ,DEF,2,Literally Duggtrio
18,Saquon Barkley ,NYG ,RB,80,Put em in Goedert
19,Ezekiel Elliott ,Dal ,RB,87,MMMMy Corona
20,Chris Godwin ,TB ,WR,40,Rudy’s Pulitzer
21,Travis Kelce ,KC ,TE,46,The Bleach Boys
22,Patrick Mahomes ,KC ,QB,64,MMMMy Corona
23,Joe Mixon ,Cin ,RB,60,LeJizz LeRoux
24,Zane Gonzalez ,Det ,K,1,Asynchronicity
25,George Kittle ,SF ,TE,55,DAD POWER
26,Henry Ruggs III ,LV ,WR,4,MyTeamIsAHenryHunter
27,JuJu Smith-Schuster ,Pit ,WR,34,MyTeamIsAHenryHunter
28,Kyler Murray ,Ari ,QB,19,Put em in Goedert
29,Dalvin Cook ,Min ,RB,74,Literally Duggtrio
30,Minnesota ,Min ,DEF,1,Rudy’s Pulitzer
31,Chicago ,Chi ,DEF,1,LeJizz LeRoux
32,Nick Chubb ,Cle ,RB,60,Asynchronicity
33,Zach Ertz ,Phi ,TE,33,CatchAll-19
34,New England ,NE ,DEF,2,Blowvid-19
