Year,Week,Team,Yards Allowed
2017,1,Atlanta Atl,301
2017,1,Kansas City KC,371
2017,1,Baltimore Bal,221
2017,1,Arizona Ari,367
2017,1,Buffalo Buf,214
2017,1,Pittsburgh Pit,237
2017,1,Philadelphia Phi,264
2017,1,New England NE,537
2017,1,Jacksonville Jax,203
2017,1,Carolina Car,217
2017,1,Houston Hou,280
2017,1,Denver Den,249
2017,1,Seattle Sea,370
2017,1,Minnesota Min,344
2017,1,Los Angeles LAR,225
2017,1,Detroit Det,308
2017,1,Washington Was,356
2017,1,Dallas Dal,233
2017,1,Green Bay GB,225
2017,1,Los Angeles LAC,321
2017,1,Cincinnati Cin,268
2017,1,San Francisco SF,287
2017,1,Cleveland Cle,290
2017,1,Chicago Chi,372
2017,1,Indianapolis Ind,373
2017,1,Tennessee Ten,359
2017,1,Oakland Oak,350
2017,1,New York NYG,392
2017,1,New York NYJ,408
2017,1,New Orleans NO,470
2017,2,Oakland Oak,271
2017,2,Arizona Ari,266
2017,2,Baltimore Bal,386
2017,2,Tampa Bay TB,310
2017,2,New England NE,429
2017,2,Pittsburgh Pit,237
2017,2,Jacksonville Jax,390
2017,2,Carolina Car,176
2017,2,Denver Den,268
2017,2,Houston Hou,295
2017,2,Minnesota Min,335
2017,2,Seattle Sea,248
2017,2,Philadelphia Phi,344
2017,2,Los Angeles LAR,385
2017,2,Detroit Det,270
2017,2,Atlanta Atl,367
2017,2,Buffalo Buf,255
2017,2,Tennessee Ten,310
2017,2,Cincinnati Cin,266
2017,2,Kansas City KC,406
2017,2,New York NYG,257
2017,2,Indianapolis Ind,389
2017,2,Washington Was,332
2017,2,Cleveland Cle,337
2017,2,San Francisco SF,312
2017,2,Chicago Chi,311
2017,2,Los Angeles LAC,336
2017,2,Dallas Dal,380
2017,2,Green Bay GB,364
2017,2,Miami Mia,367
2017,2,New York NYJ,410
2017,2,New Orleans NO,555
2017,3,Miami Mia,336
2017,3,Pittsburgh Pit,306
2017,3,Baltimore Bal,410
2017,3,Tennessee Ten,433
2017,3,Arizona Ari,273
2017,3,Jacksonville Jax,186
2017,3,Green Bay GB,301
2017,3,New England NE,417
2017,3,Cleveland Cle,335
2017,3,Denver Den,272
2017,3,Philadelphia Phi,415
2017,3,Oakland Oak,472
2017,3,Indianapolis Ind,346
2017,3,Houston Hou,396
2017,3,Seattle Sea,420
2017,3,Los Angeles LAR,421
2017,3,Washington Was,128
2017,3,New Orleans NO,288
